Id,Start,Name,Impact,Currency
954f434a-e57c-4d49-ab27-1b694b7b287d,01/03/2012 15:00:00,ISM Manufacturing PMI,MEDIUM,USD
b1d50214-51a2-4347-8228-c2d512ef7b4c,01/04/2012 15:00:00,Factory Orders (MoM),MEDIUM,USD
f15c675d-d5d9-4537-ae16-441f8ed8c980,01/05/2012 15:00:00,ISM Services PMI,MEDIUM,USD
7fd6a004-09a4-4dc8-b17d-bd5033e5e678,01/10/2012 15:00:00,Wholesale Inventories,LOW,USD
9f78f555-9d00-4258-aa18-b0cf9827a544,01/12/2012 15:00:00,Business Inventories,MEDIUM,USD
6d450132-5a50-4a04-9ec4-960ab35fd653,01/17/2012 13:30:00,NY Empire State Manufacturing Index,LOW,USD
c661f496-4675-451a-948b-c5334aa2b4b9,01/18/2012 14:15:00,Capacity Utilization,LOW,USD
b005c997-90a2-4b22-90c3-e96bcb727c4c,01/18/2012 14:15:00,Industrial Production (MoM),MEDIUM,USD
cb16c108-66e7-481b-8342-cb7d69a4edb9,01/19/2012 15:00:00,Philadelphia Fed Manufacturing Survey,MEDIUM,USD
6631d7b2-f132-478e-a20d-88ac5b439eeb,01/24/2012 15:00:00,Richmond Fed Manufacturing Index,LOW,USD
9267c805-cdf1-4da2-929e-e93ab2249be4,01/26/2012 12:30:00,"Chicago Fed National Activity Index ",LOW,USD
f8aa308d-05c2-43a5-a4e4-98080b610b32,01/26/2012 13:30:00,Durable Goods Orders,HIGH,USD
536615f6-0bd4-4056-80d9-4f026a3dfe61,01/26/2012 13:30:00,Durable Goods Orders ex Transportation,MEDIUM,USD
c3f30e44-1c4e-4ce4-a443-0f47b1eaa4c6,01/27/2012 13:30:00,Gross Domestic Product Annualized,MEDIUM,USD
e83d91d4-a311-44a8-b2de-476decf2f0ae,01/27/2012 13:30:00,Gross Domestic Product Price Index,MEDIUM,USD
07e90e44-b802-4b2c-b137-a963fb13b41f,01/31/2012 14:45:00,Chicago Purchasing Managers' Index,LOW,USD
3b467008-5477-4deb-b281-ab364a73ddf3,02/01/2012 15:00:00,ISM Manufacturing PMI,MEDIUM,USD
93c1239f-0a9e-414d-88d8-6f4888f55e8b,02/03/2012 15:00:00,Factory Orders (MoM),LOW,USD
2af11035-23c2-4954-b1e6-4beec3a0d27c,02/03/2012 15:00:00,ISM Services PMI,MEDIUM,USD
fc101aa0-2b1b-4bfa-b94d-13c497d53c96,02/09/2012 15:00:00,Wholesale Inventories,LOW,USD
4a121d4c-fb95-4c52-b8d2-bb7186cd09e1,02/14/2012 15:00:00,Business Inventories,LOW,USD
b1964a88-ef9d-4462-a4d0-1d238dd82812,02/14/2012 18:00:00,NFIB Business Optimism Index,LOW,USD
1816e9d3-91a2-4c36-87d0-97fc2fa37571,02/15/2012 13:30:00,NY Empire State Manufacturing Index,LOW,USD
e0c3aeba-b40a-4440-8f63-1fce61449a3e,02/15/2012 14:15:00,Capacity Utilization,LOW,USD
0e310be3-7aef-4d6b-b80c-a1fc577ce6a7,02/15/2012 14:15:00,Industrial Production (MoM),MEDIUM,USD
be989646-540b-48f2-afdd-6291566c9e5e,02/16/2012 15:00:00,Philadelphia Fed Manufacturing Survey,LOW,USD
4b003e81-007b-44a0-9515-28e32645b2f3,02/21/2012 12:30:00,"Chicago Fed National Activity Index ",LOW,USD
e82fb4f6-d658-43f6-83db-c9f0b841954e,02/27/2012 14:30:00,Dallas Fed Manufacturing Business Index,MEDIUM,USD
0f8dcd79-4f26-4d70-9199-8c2f76b1db29,02/28/2012 13:30:00,Durable Goods Orders,HIGH,USD
a1edae1c-ac92-481f-bb13-4ebb7dd9848d,02/28/2012 13:30:00,Durable Goods Orders ex Transportation,MEDIUM,USD
0e66564d-a0fb-4d21-840d-87782b57b9af,02/28/2012 15:00:00,Richmond Fed Manufacturing Index,LOW,USD
e6af29e5-5a65-46ce-a6f5-2819a4bb6f8f,02/29/2012 13:30:00,Gross Domestic Product Annualized,HIGH,USD
900cf7a4-6733-4073-abc8-d296c4c61bf6,02/29/2012 13:30:00,Gross Domestic Product Price Index,HIGH,USD
8cc84e0e-475b-4276-8016-dfb81592dacf,02/29/2012 14:45:00,Chicago Purchasing Managers' Index,LOW,USD
0abd09d4-d29f-4c38-b16d-7731a9d5bceb,03/01/2012 15:00:00,ISM Manufacturing PMI,MEDIUM,USD
199336bd-3971-4ab6-9927-d3f60ab38211,03/05/2012 15:00:00,Factory Orders (MoM),MEDIUM,USD
afa05974-2c3f-4ab8-a767-a639360fb99a,03/05/2012 15:00:00,ISM Services PMI,MEDIUM,USD
61575e7a-4d89-4b0a-8a26-daf1dbc83dd1,03/09/2012 15:00:00,Wholesale Inventories,LOW,USD
79d7af1a-af42-40a7-b26f-f2b64706936f,03/13/2012 11:30:00,NFIB Business Optimism Index,LOW,USD
bd5e4194-57d9-46df-b94d-50264baf755b,03/13/2012 14:00:00,Business Inventories,LOW,USD
0da582d4-0399-4098-a6c7-64e7d0570c0d,03/15/2012 12:30:00,NY Empire State Manufacturing Index,LOW,USD
9d7daec9-45b7-472a-b46c-9965678c9b20,03/15/2012 14:00:00,Philadelphia Fed Manufacturing Survey,MEDIUM,USD
328e194d-a526-4dff-8de0-c81de5c430d8,03/16/2012 13:15:00,Capacity Utilization,LOW,USD
75a827d0-a1ff-4b82-86b1-6c146a52cd47,03/16/2012 13:15:00,Industrial Production (MoM),MEDIUM,USD
9c9503ba-f934-43ba-a8b4-835c18112a60,03/26/2012 12:30:00,"Chicago Fed National Activity Index ",LOW,USD
6c1c11c7-a2b5-41ec-b8d0-8245800757ef,03/26/2012 14:30:00,Dallas Fed Manufacturing Business Index,MEDIUM,USD
