Id,Start,Name,Impact,Currency
bb1ebf0d-994a-44a7-a1a5-7e541a23123d,01/03/2012 15:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
4e5e8f76-e663-45a4-b637-3583e45a1017,01/09/2012 20:00:00,Consumer Credit Change,MEDIUM,USD
6923a94c-a9d4-4433-90b2-8cc027e05bbf,01/18/2012 13:30:00,Producer Price Index (MoM),LOW,USD
73203e32-3d11-4094-ad54-975012197072,01/18/2012 13:30:00,Producer Price Index (YoY),MEDIUM,USD
93fc459e-689d-4400-8a6a-f3c370d3b159,01/18/2012 13:30:00,Producer Price Index ex Food & Energy (MoM),LOW,USD
c55cc0bd-0f88-42a7-86fd-74d88522d28c,01/18/2012 13:30:00,Producer Price Index ex Food & Energy (YoY),MEDIUM,USD
3eadd7f5-35f3-41bb-bc1e-c069f932b641,01/19/2012 12:30:00,Consumer Price Index n.s.a (MoM),LOW,USD
8d8f189f-3514-433d-af4b-18f0571eecba,01/19/2012 13:30:00,Consumer Price Index (MoM),MEDIUM,USD
594a53d0-5361-4233-9686-a8917a8e0de4,01/19/2012 13:30:00,Consumer Price Index (YoY),HIGH,USD
70a3925b-e501-4cab-90ab-430413fae79b,01/19/2012 13:30:00,Consumer Price Index Core s.a,LOW,USD
d7ed3509-aa1d-4acd-856c-5f600c700207,01/19/2012 13:30:00,Consumer Price Index ex Food & Energy (MoM),MEDIUM,USD
920870ed-bd24-4d2d-9e41-268cbe4c9b07,01/19/2012 13:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
cd69dab2-71d4-4f70-9659-6a865c3c9bc2,01/25/2012 15:00:00,Housing Price Index (MoM),LOW,USD
0f8c115c-edf5-49a0-bfa3-65036ab36be1,01/30/2012 13:30:00,Core Personal Consumption Expenditures - Price Index (MoM),MEDIUM,USD
1fc51fb9-b6c9-45bb-87cc-534a7507cce6,01/30/2012 13:30:00,Core Personal Consumption Expenditures - Price Index (YoY),MEDIUM,USD
12fd6331-d1ab-4329-b866-9d5e181e8a6f,01/30/2012 13:30:00,Personal Consumption Expenditures - Price Index (MoM),MEDIUM,USD
c1b21d69-08d9-4049-b25b-bf8650b04fff,01/30/2012 13:30:00,Personal Consumption Expenditures - Price Index (YoY),MEDIUM,USD
eb828253-94c7-433d-a50c-af023e49882f,02/01/2012 15:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
00197635-f67f-4629-a6b1-d4dee959d79e,02/07/2012 20:00:00,Consumer Credit Change,MEDIUM,USD
87ed307d-4b23-435e-b23d-3b1397e5e852,02/15/2012 13:30:00,Consumer Price Index Core s.a,LOW,USD
08bb2b7f-8d1e-494c-8f7c-1a1b65a4ab3e,02/16/2012 13:30:00,Producer Price Index (MoM),LOW,USD
3a3da4b2-4566-489f-a7b8-96de0e61c91a,02/16/2012 13:30:00,Producer Price Index (YoY),MEDIUM,USD
93e9caf2-b7a8-4018-a15c-9ea37ae565d7,02/16/2012 13:30:00,Producer Price Index ex Food & Energy (MoM),LOW,USD
71181d80-f92e-4e31-a1cb-a7ee7a973fec,02/16/2012 13:30:00,Producer Price Index ex Food & Energy (YoY),MEDIUM,USD
539e693c-cef6-4982-9466-19ff87f625d7,02/17/2012 12:30:00,Consumer Price Index n.s.a (MoM),LOW,USD
b4a32479-0c77-4d10-8471-9c0438ed5910,02/17/2012 13:30:00,Consumer Price Index (MoM),MEDIUM,USD
7455d4df-00e3-4262-b5c7-0b0db471be03,02/17/2012 13:30:00,Consumer Price Index (YoY),HIGH,USD
d52e671b-2551-4717-93ec-81990e6858b2,02/17/2012 13:30:00,Consumer Price Index ex Food & Energy (MoM),MEDIUM,USD
a6b5a7e1-977e-4d06-9f2d-561a5f21e630,02/17/2012 13:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
17ea84b5-8ee9-4afc-bba3-68fa53cff55c,02/23/2012 15:00:00,Housing Price Index (MoM),MEDIUM,USD
7fe62af5-337a-42f6-a1a2-8030c095fe92,03/01/2012 13:30:00,Core Personal Consumption Expenditures - Price Index (MoM),MEDIUM,USD
