Id,Start,Name,Impact,Currency
f5682a97-b052-47a0-9183-124182e75e01,01/05/2012 11:30:00,Challenger Job Cuts,LOW,USD
6b0ae79d-4ba4-421b-973c-922d387946ed,01/05/2012 13:15:00,ADP Employment Change,MEDIUM,USD
8c2e6dec-d0fd-41ec-9ba5-df8dbe761a5d,01/05/2012 13:30:00,Continuing Jobless Claims,LOW,USD
ef9e4fab-3648-4078-866f-5469c7d010e1,01/05/2012 13:30:00,Initial Jobless Claims,LOW,USD
9b08b2f0-a482-4438-b4b5-6a8fabbdfaf6,01/06/2012 13:30:00,Average Hourly Earnings (MoM),MEDIUM,USD
1e54d5f3-e439-4d29-97e2-d25aae5c0e03,01/06/2012 13:30:00,Average Hourly Earnings (YoY),MEDIUM,USD
ad310ebc-eaa4-45db-9c97-aa4e971126be,01/06/2012 13:30:00,Average Weekly Hours,LOW,USD
d42a909c-934c-4e99-ba8b-db86a416b482,01/06/2012 13:30:00,Nonfarm Payrolls,HIGH,USD
e11d33b4-f034-440b-a3cd-b365e143ba5e,01/06/2012 13:30:00,Unemployment Rate,HIGH,USD
4c3a2acf-5e6e-4522-a86a-ebaddea5e2f3,01/12/2012 13:30:00,Continuing Jobless Claims,LOW,USD
3e9fba02-23fb-495a-ae5b-6f380f77a8f7,01/12/2012 13:30:00,Initial Jobless Claims,LOW,USD
f7b0ff1a-555d-495b-954b-69358cba86e5,01/19/2012 13:30:00,Continuing Jobless Claims,LOW,USD
3dabe539-75c1-414a-a3e4-29e972a5e0a9,01/19/2012 13:30:00,Initial Jobless Claims,LOW,USD
45405bc7-64b3-4ff8-9954-430ae120b13a,01/26/2012 13:30:00,Continuing Jobless Claims,LOW,USD
af31fe4e-99e8-4966-93f0-68b17f2844d3,01/26/2012 13:30:00,Initial Jobless Claims,LOW,USD
4707b321-202f-4bad-8a9a-dd0368adbbaa,01/30/2012 13:30:00,Personal Income (MoM),MEDIUM,USD
ab1f4e93-fe87-474b-a5d7-d135f616ca39,01/31/2012 12:30:00,Employment Cost Index,LOW,USD
55c50309-6dab-4844-b1e3-0c09e6a3bb6b,02/01/2012 13:15:00,ADP Employment Change,MEDIUM,USD
e1a1f66e-eed1-4f18-99e9-143d6d1d25a1,02/02/2012 11:30:00,Challenger Job Cuts,LOW,USD
465ed11d-51fa-4e30-8950-123f889c18be,02/02/2012 13:30:00,Continuing Jobless Claims,MEDIUM,USD
fefe808b-ac8d-4833-9b00-e666911c0f98,02/02/2012 13:30:00,Initial Jobless Claims,MEDIUM,USD
941c62ce-f31a-4726-969b-443c40d65ec1,02/02/2012 13:30:00,Nonfarm Productivity,MEDIUM,USD
4b63cf94-c7cb-48a2-94f0-8b455a08c4ff,02/02/2012 13:30:00,Unit Labor Costs,MEDIUM,USD
b285e627-da3a-4ce1-82a4-2184ce7f2867,02/03/2012 13:30:00,Average Hourly Earnings (MoM),MEDIUM,USD
